date,temp_max,temp_min,temp_avg,total_radiation
2026-05-03,17.0,12.9,14.29,3579.0
2026-05-04,16.2,11.6,13.81,5592.0
2026-05-05,16.2,10.5,13.39,5079.0
2026-05-06,17.9,9.7,14.08,5375.0
2026-05-07,17.3,11.0,14.32,5549.0
2026-05-08,17.9,12.2,14.61,3180.0
2026-05-09,16.8,12.1,14.0,1145.0
2026-05-10,17.9,11.3,13.92,3539.0
2026-05-11,17.2,12.6,14.63,2296.0
2026-05-12,17.8,11.7,14.78,3910.0
2026-05-13,17.4,10.9,14.62,4800.0
2026-05-14,18.5,10.4,14.0,5540.0
2026-05-15,17.0,11.2,14.18,4285.0
2026-05-16,17.6,9.5,13.76,6583.0
2026-05-17,17.5,11.1,14.3,5188.0
2026-05-18,17.2,10.6,14.45,4872.0
2026-05-19,18.8,14.2,15.98,1814.0
2026-05-20,23.5,11.4,18.12,6703.0
2026-05-21,26.5,17.0,22.06,6465.0
2026-05-22,30.8,18.4,23.96,5555.0
2026-05-23,26.9,18.4,22.52,3921.0
2026-05-24,24.8,18.6,22.4,6203.0
2026-05-25,24.2,16.5,20.58,5917.0
2026-05-26,28.7,15.2,22.54,6139.0
2026-05-27,31.5,21.2,25.77,7019.0
2026-05-28,23.1,17.2,20.87,7018.0
2026-05-29,22.0,16.6,19.05,6022.0
2026-05-30,21.3,16.3,18.26,4432.0
2026-05-31,24.0,14.6,18.74,6639.0
2026-06-01,21.8,14.7,18.03,6656.0
2026-06-02,19.4,15.5,17.54,5251.0
